Name,Org,Pos,Current Level,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Signed,Signed From,Report,Video,playerId
"Keibert Ruiz","LAD","C","AAA",11,3,"","60",2020,"High","21.3","6' 0""","200","S","R","2014 J2 (LAD)","Venezuela","Watching Ruiz catch is like watching video of Alan Shepard play golf on the moon. Things seem to be moving at a different pace for Keibert, especially on defense. He has a thick, unimpressive build and is a mediocre athlete, but almost all of his baseball skills are elite. He's one of the better receivers in the minors and is a better ball blocker than one would expect given his lack of athleticism, as if he has wild pitch precognition. Despite average pure arm strength, Ruiz is going to snipe a lot of would-be base-stealers because his throws are almost always right on the bag. 
The skills-over-tools coloration of Ruiz's profile continues on offense, where his hand-eye coordination and bat control make him extraordinarily hard to strike out. He struck out in just 8% of his plate appearances last year as a 19/20-year-old at Double-A Tulsa. Because Ruiz can make contact with just about anything, he tries to, and his lack of selectivity will likely limit his big league power output and perhaps his ability to reach base. But he has a very rare skillset for a catcher and a good chance to be an All-Star.","jGl4H285JjI","sa872528"
"Carter Kieboom","WSN","SS","MLB",12,1,"","60",2020,"Med","22.2","6' 2""","190","R","R","2016 Draft Rnd 1 (WSN)","Walton HS (GA)","Kieboom entered 2018 with just 48 full-season games under his belt due to a nasty hamstring injury that cut short his promising 2017 campaign. He crushed Hi-A, hitting .298/.386/.494 and forcing a promotion to Double-A at age 20. Kieboom didn't hit well during his two-month stay in Harrisburg and he didn't look very good at shortstop in the Fall League, but he has performed much better than expected for a hitter who is the age of a college sophomore. He is going to stay on the infield, and has big, playable raw power, and we're unconcerned about his late-season struggles. Kieboom's hands work in a tight, explosive circle, which generates all-fields thump and enables Kieboom to catch up to premium velocity. He's a little heavy-footed on defense but his arm plays on the left side of the infield and his mediocre range might be able to be hidden by modern defensive positioning. This is a complete player with a chance to hit in the middle of the order and also stay at shortstop, if not second or third base. That's a potential All-Star.","_-90cLZAZz4","19958"
"Cristian Pache","ATL","CF","AAA",13,1,"","60",2021,"Med","21.0","6' 2""","185","R","R","2015 J2 (ATL)","Dominican Republic","If we told you a prospect seemed like an injury-independent lock to play elite outfield defense, how much offense would he have to provide to be a star-level player? The industry's six-week look at Pache during the Arizona Fall League further cemented the belief that Pache has a great chance to be one of the, if not the, best defensive center fielders in baseball as soon as he arrives in Atlanta. He's a plus to plus-plus runner with a great first step, and he has a knack for contorting his body in ways that enable him to make spectacular catches on flyballs that would otherwise fall in for tough-luck hits. He also has a 70-grade arm when he sets and throws properly, though at times he sacrifices velocity and accuracy in order to get rid of the ball more quickly, which isn't always the right decision. Pache also has good bat-to-ball skills and solid average raw power, but the quality of his at-bats and his hitting mechanics both vary. His upside is enormous if everything comes together, and Pache just turned 20 years old, but there's risk that the bat plays down because of Pache's approach. If that's the case, he might exist in the Hamilton/Pillar area of WAR production, but even a one-dimensional offensive profile likely results in star level production and because Pache is still just the age of a college sophomore, we anticipate growth in this area.","ALCsGpZ1oiA","sa916722"
"Ke'Bryan Hayes","PIT","3B","AAA",14,1,"","60",2020,"Med","22.8","6' 1""","210","R","R","2015 Draft Rnd 1 (PIT)","Concordia Lutheran HS (TX)","The son of 13-year big leaguer Charlie Hayes, Ke'Bryan has a rare blend of skills that includes premium defense, plus speed, and an offensive profile structured much like his father's. 
The younger Hayes was identified as a potential early-round pick pretty early in high school and eventually climbed to the back of the first round after a strong senior spring. He was drafted 32nd overall and signed for $1.8 million rather than head to Tennesse, where he and Nick Senzel would have played together for a year. Hayes has moved through the minors quickly and had a strong 2018 season at Double-A Altoona -- .293/.375/.444 with an 11% BB%, 16.5% K%, 31 2Bs, 12 SB -- in what would have been his draft year. He's one of the best defensive third basemen in the minors and has progressed to become an above-average hitter, as well. A flat-planed swing and conservative hitting footwork are stifling the in-game power production. For Hayes, that's fine. He does everything else. 
It's possible the Pirates will try to coax more power of out him by tweaking either his footwork or by moving his hands, the latter of which feels riskier. Even without further offensive evolution, Hayes projects as an all-fields, league-average offensive threat with plus-plus defense.","o76lKnW1nX0","sa874730"
"Vidal Brujan","TBR","2B","AA",15,3,"","55",2021,"Med","21.7","5' 9""","155","S","R","2014 J2 (TBR)","Dominican Republic","Five years ago, Brujan was illiterate and living in extreme poverty in the Dominican Republic. Now he's fluent in multiple languages and has grown so much as an athlete and ballplayer that we think he'd be in the conversation for the 2019 draft's first pick were he a college player. If you're willing to look beyond Brujan's diminutive stature, he leaves nothing to be desired. He is an elite athlete with acute baseball instincts, a dynamic up-the-middle defensive profile, and mature feel for the strike zone. He has always been physical enough to make quality contact and fast enough to make an impact on the bases, but really began driving the ball in 2018 as his frame started to physically mature. He slashed .313/.395/.427 at Low-A before an August promotion to Hi-A, where he slugged a shocking .582. Aside from his size, Brujan's profile is flawless and he has a chance to be a star.","u9ijt1PWgYM","sa872786"
"Brendan Rodgers","COL","SS","MLB",16,1,"","55",2019,"Med","23.2","6' 0""","180","R","R","2015 Draft Rnd 1 (COL)","Lake Mary HS (FL)","Rodgers stood out early in his high school career outside Orlando, FL as a regular on the showcase circuit who was often the best player on the field at high profile events while also being the youngest. He had mostly solid average tools and good feel through the middle of his prep career. Then in his senior year, the arm strength, raw power, and bat speed all became plus, and he was the odds on favorite to go first overall. But Dansby Swanson, Alex Bregman, Andrew Benintendi, and fellow Florida prep hitter Kyle Tucker all took steps forward in the spring, and the Rockies were able to get Rodgers third overall. 
In pro ball, Rodgers has benefitted form the Rockies' affiliates being extreme hitters' environments, which has mostly obscured in the surface stats the fact that Rodgers pitch selection is below average. It improved a bit in his second taste of Double-A in 2018, then became an issue again in his late-season promotion to Triple-A. He's fringy at shortstop and as a runner, so most scouts see him sliding over to second base long-term, but he's good enough to play shortstop everyday if a club doesn't have better options and focuses on shifting and positioning around him. There's enough here that it's likely Rodgers is a solid everyday player of some sort in 2020, but he may not be the star that some have anticipated.","8R3NqST3CPs","17907"
"Joey Bart","SFG","C","AA",17,1,"","55",2020,"Med","22.9","6' 3""","225","R","R","2018 Draft Rnd 1 (SFG)","Georgia Tech","Bart was a solid mid-tier prep prospect in the Atlanta suburbs who a couple of clubs really liked, but they ultimately couldn't meet his price, pushing him to Georgia Tech. He made the leap between his sophomore and junior years, growing into his athleticism and developing plus raw power along with above average defensive tools and arm strength. The defensive tools are especially rare for a catcher of Bart's size, as it's much easier for a more compact-framed player to excel behind the plate. Bart has the rare ability to slow the game down defensively and scouts rave about his makeup, game calling, and game preparation. 
At the plate, Bart has big power and gets to it pretty often in games, particularly to his pull side, where he hit a majestic shot that was never found over the facade of the football complex in left field at Georgia Tech's stadium. But while he is exceptional behind the plate, Bart doesn't have the same ability to slow the game at it, however, with elevated strikeout rates in his draft year and just okay pitch selection. The bat speed is good and he doesn't have trouble against velocity, and some scouts point to his solid pro debut as evidence that Bart was just frustrated by being pitched around and developed some bad habits in college. Since literally everything else you could want except for contact is already present, most assume that Bart will figure out a way to get to a 40 to 50 bat with above average game power and above average defense, even if it's on the job in the big leagues in 2020. He broke his hand early in 2019 and will miss several weeks. He's a strong Arizona Fall League possibility.","Cozg_YSvag0","sa3007786"
"Luis Robert","CHW","CF","AAA",18,1,"","55",2020,"High","22.2","6' 3""","185","R","R","2017 J2 (CHW)","Cuba","More than a full year removed from all that intrigue and we still know relatively little about Luis Robert, largely due to a thumb ligament sprain LouBob dealt with throughout 2018. His signing with Chicago marked the end of a more lucrative era for young international players who are now subject to more tight-fisted rules capping bonus amounts. Despite a limited market due to the timing of his deal, Robert signed for $26 million thanks to his all-world physical gifts. The raw power and top-end speed were obvious in workouts, but unless teams scouted him in Series Nacional or during the Cuban National team's annual CanAm League tour, little was known about his ability to hit big league-quality pitching, or what his instincts were like in center field. 
Because his thumb cost him April, May, and July (he re-aggravated it), it was hard to get extended looks during 2018 until Robert's six-week stint in the Arizona Fall League (which was also interrupted by a hamstring issue). LouBob's AFL stats were fine, but his swing path left him vulnerable to velocity on the inner half, and he too often expanded the zone. There's doubt that he'll get to all of his raw power in games, both due to the swing path and lack of plate discipline, but it isn't as if he's had time to make proper adjustments yet, and the pitching he saw in Arizona was the best he's seen in his life. The ceiling is the same as it was purported to be before he signed: power, speed, offensive performance similar to Carlos Gomez's best years. There's just more risk that Robert doesn't get there.","yolHGuJGfEk","sa3003396"
"A.J. Puk","OAK","LHP","MLB",19,1,"","55",2019,"High","24.5","6' 7""","230","L","L","2016 Draft Rnd 1 (OAK)","Florida","It's counterintuitive to call a lefty with a plus slider and mid-90s velocity a 'breakout' candidate, but that's exactly what Puk looked like during 2018 Spring Training before he tore his UCL and needed Tommy John. Puk was soft-bodied and relatively unathletic as an amateur, but he arrived to Mesa in good shape and his landing leg was more stable throughout his delivery, leading to superior command than he had had at Florida. Additionally, Puk dusted off his high school curveball and reintroduced it to his repertoire. His feel for it returned very quickly, and it was comfortably average near the end of spring and gave him a fresh way of starting off at-bats the second and third time through a lineup. His changeup was also better than it had been in college, and looked like a potential plus pitch. 
Scouts thought he had a chance to reach Oakland by year's end, and a surprisingly competitive Oakland club would have been motivated to move him quickly. Puk has recently begun throwing bullpens and should be going full-tilt later in the spring. He appeared to have No. 2 or 3 starter upside before his injury.","dF78XZniyhY","19343"
"Michael Kopech","CHW","RHP","MLB",20,2,"","55",2019,"High","23.5","6' 3""","195","R","R","2014 Draft Rnd 1 (BOS)","Mt. Pleasant HS (TX)","Just as Kopech seemed to be harnessing his hellacious stuff, he blew out. In the seven minor league starts before his big league debut, Kopech walked just four batters, and he was similarly efficient in his first few big league outings. His velocity was down and the Tigers shelled him in his final start, and an MRI revealed Kopech would need Tommy John. The timing was particularly cruel, not just because things had started to click, but also because late-season TJs usually cost the pitcher all of the next year; Kopech isn't expected to be back until 2020. 
His stuff is great, headlined by a mid-90s fastball that often crests 100 mph. The command inroads Kopech made late in 2018 are especially important for his ability to deal with lefties, because his changeup feel is not very good. He'll need to mix his two breaking balls together to deal with them, and his slider feel is way ahead of the curveball. So long as Kopech's stuff returns, he has No. 3 starter ceiling if the command comes with it, and high-leverage relief ability if the latter does not.","JXUYoulUEo8","17282"
"Drew Waters","ATL","CF","AAA",21,2,"&uarr;","55",2021,"High","20.8","6' 2""","183","S","R","2017 Draft Rnd 2 (ATL)","Etowah HS (GA)","Waters was the rare prep prospect who had present hit tool utility, top-of-the-line prep performance, and 55- or 60-grade supporting tools to give him both high certainty and some ceiling. He got lost in the shuffle a bit in his deep draft class and had a tough pro debut due to both fatigue and swing tinkering. His full season debut in 2018 was a smashing success; he demolished the Low-A Sally League and posted a 98 wRC+ in High-A as a teenager. Waters' raw power is a 55 that will likely be a 60 as he fills out, and his speed is a current 60 that likely becomes a 55. His center field instincts are above average, so he's still got a solid chance to stick at the position and his arm is an easy plus. Waters' carrying tool is his bat and he regained an approach that works for him in 2018. His exciting combination of physical projection, now ability, and ceiling will give him upward mobility in the Top 100 with a strong start to 2019.","lNnHDBf17DI","sa3004378"
"Sixto Sanchez","MIA","RHP","AA",22,1,"&darr;","55",2020,"High","21.3","6' 0""","185","R","R","2014 J2 (PHI)","Dominican Republic","Sanchez's first 2019 start -- during which he walked an uncharacteristically high four hitters and spent much of the outing rotating his head and neck about his shoulders, and stretching his arm and upper back -- was perhaps a harbinger of things to come; his season would later end due to multiple injuries. After that rough first start, his stuff and command were as they usually are. He was generating upper-90s velocity with ease, his breaking balls were crisp, and his changeups were well-located and moving. He walked just seven hitters in his final seven starts of the year before succumbing to elbow inflammation, which ended his regular season in early-June. Sanchez rehabbed in Florida in anticipation of an Arizona Fall League assignment and threw some tune up innings early during the 2018 fall instructional league, his stuff intact and ready for Arizona. Then he awoke one morning with soreness in his collarbone. After an MRI it was determined that Sixto would have to shut things down for a bit and head to Arizona quite late, so he was just shelved for the year. Sanchez has now missed time to injury in two consecutive seasons. In each year, he has often been given extended rest between starts and dealt with issues in his neck and collarbone area. That isn't ideal and all else being equal, we'd rather have a pitching prospect without this kind of injury history. But all else isn't equal when one lines up Sixto's stuff and command, both of which are very advanced for a conversion arm so new to pitching, against the stuff and command of other minor league pitchers. This is one of the most talented pitching prospects on Earth, one with top of the rotation potential. He's still only 20 so the fact that injuries have diluted his innings output isn't a huge issue yet. Hopefully he has a healthy, robust 2019 and gets back on track to debut in 2020.","OFHkPmNCPOI","sa873550"
"Jesus Luzardo","OAK","LHP","MLB",23,2,"&darr;","55",2019,"Med","22.1","5' 11""","209","L","L","2016 Draft Rnd 3 (WAS)","Stoneman Douglas HS (FL)","The summer before his senior year of high school, Luzardo looked like a relatively unprojectable pitchability lefty, albeit an advanced one. His fastball was only in the 88-92 range at Area Codes, though his changeup and curveball were each above-average. He did not throw during the fall and instead devoted more time to working out. The following spring, with a new physique, Luzardo's stuff was way up across the board, his fastball now sitting comfortably in the mid-90s, touching 97. Four starts into his senior season, Luzardo tore his UCL and need Tommy John. 
After most of the first three rounds of the 2016 draft had come and gone it seemed as though Luzardo might end up at the University of Miami. Four outings (including the one during which he broke) was not enough time for many teams to have high-level decision makers in to see him and take him early, but the Nationals (who have a history of drafting pitchers who have fallen due to injury) called his name and signed him for $1.4 million, a bonus equivalent to an early second rounder. Luzardo rehabbed as a National and continued to strengthen his body. When he returned the following summer, his stuff had completely returned. He made just three starts for the GCL Nats before he was traded to Oakland as part of the Sean Doolittle/Ryan Madson deal. 
He has quickly climbed Oakland's minor league ladder and reached Triple-A at age 20 in 2018. Those crafty pitchability traits from high school are still extant. Luzardo will vary the shape of his breaking ball -- he can throw it for strikes to get ahead of hitters, he back foot it to righties -- and he uses his changeup against lefties and righties. His delivery is a bit violent but it doesn't inhibit his command, and Luzardo's musculature seems better able to deal with the effort than it was when he was in high school. His fastball, which has been up to 97 in his big league appearances this spring, may not play like a mid-90s heater because he is undersized and a short-strider, but he locates it well enough to avoid getting hurt. 
He has mid-rotation upside and is abnormally polished. We may see him in Oakland this year.","XPMeIpPKW2k","19959"
"Ronny Mauricio","NYM","SS","A",24,1,"&uarr;","55",2023,"High","18.6","6' 3""","166","S","R","2017 J2 (NYM)","Dominican Republic","Much of scouting teenage prospects has to do with identifying good athletes and good frames, and like many of this century's All-Star, power-hitting shortstops, Ronny Mauricio is both. A broad-shouldered but lean 6-foot-3, Mauricio looks like Manny Machado, and Hanley Ramirez, and Carlos Correa, and a host of other super talents all did at age 17: long-limbed, with surprising grace, flexibility, and coordination for someone this age and size, and possessed of physical gifts that might enable them to stay at shortstop while also growing into huge power. The Goldilocks Zone. But Mauricio is also more than just a frame/athleticism/projection bet. He has relatively advanced feel to hit for a teenage switch-hitter, his timing is fine, and he hasn't exhibited any confidence-altering, contact-related red flags, like lever length or poor plate discipline. He may outgrow shortstop but if he does, it means big power on a plus-gloved third baseman. We were surprised by Mauricio's GCL assignment, and then surprised further by both his admirable statistical performance there and his late-season promotion to Kingsport. He might be ushered through the system more quickly than we anticipated when he signed. Regardless of where he's playing, once Mauricio turns a physical corner, he's likely to rocket up this list.","NvOA8y_cZGI","sa3006887"
